category,text
positive,"Double-stranded RNA targeting calmodulin reveals a potential target for pest management of Nilaparvata lugens. BACKGROUND: Calmodulin (CaM) is an essential protein in cellular activity and plays important roles in many processes in insect development. RNA interference (RNAi) has been hypothesized to be a promising method for pest control. CaM is a good candidate for RNAi target. However, the sequence and function of CaM in Nilaparvata lugens are unknown. Furthermore, the double-stranded RNA (dsRNA) target to CaM gene in pest control is still unavailable. RESULTS: In the present study, two alternatively spliced variants of CaM transcripts, designated NlCaM1 and NlCaM2, were cloned from N. lugens. The two cDNA sequences exhibited 100% identity to each other in the open reading frame (ORF), and only differed in the 3' untranslated region (UTR). NlCaM including NlCaM1 and NlCaM2 mRNA was detectable in all developmental stages and tissues of N. lugens, with significantly increased expression in the salivary glands. Knockdown of NlCaM expression by RNAi with different dsRNAs led to an inability to molt properly, increased mortality, which ranged from 49.7 to 92.5%, impacted development of the ovaries and led to female infertility. There were no significant reductions in the transcript levels of vitellogenin and its receptor or in the total vitellogenin protein level relative to the control group. However, a significant reduction in vitellogenin protein was detected in ovaries injected with dsNlCaM. In addition, a specific dsRNA of NlCaM for control of N. lugens was designed and tested. CONCLUSION: NlCaM plays important roles mainly in nymph development and uptake of vitellogenin by ovaries in vitellogenesis in N. lugens. dsRNA derived from the less conserved 3'-UTR of NlCaM shows great potential for RNAi-based N. lugens management. © 2018 Society of Chemical Industry. "
negative,"Recent findings in evolution and function of insect innexins. The past decade has seen significant advances in the field of innexin biology, particularly in the model invertebrate organisms, the nematode Caenorhabditis elegans and the fly Drosophila melanogaster. However, advances in genomics and functional techniques during this same period are ushering in a period of comparative innexin biology. Insects are the most diverse metazoan taxa in terms of species number, as well as in developmental, physiological, and morphological processes. Combined with genomics data, the study of innexins should rapidly advance. In this review, we consider the current state of knowledge regarding innexins in insects, focusing on innexin diversity, both evolutionary and functional. We also consider an unusual set of innexins, known as vinnexins, that have been isolated from mutualistic viruses of some parasitoid wasps. We conclude with a call to study insect innexins from a broader, evolutionary perspective. Knowledge derived from such comparative studies will offer significant insight into developmental and evolutionary physiology, as well as specific functional processes in a taxon that has huge biomedical and ecological impact on humans.  "
negative,"Landscape genomics of Colorado potato beetle provides evidence of polygenic adaptation to insecticides. The ability of insect pests to rapidly and repeatedly adapt to insecticides has long challenged entomologists and evolutionary biologists. Since Crow's seminal paper on insecticide resistance in 1957, new data and insights continue to emerge that are relevant to the old questions about how insecticide resistance evolves: such as whether it is predominantly mono- or polygenic, and evolving from standing vs. de novo genetic variation. Many studies support the monogenic hypothesis, and current management recommendations assume single- or two-locus models. But inferences could be improved by integrating data from a broader sample of pest populations and genomes. Here, we generate evidence relevant to these questions by applying a landscape genomics framework to the study of insecticide resistance in a major agricultural pest, Colorado potato beetle, Leptinotarsa decemlineata (Say). Genome-environment association tests using genomic variation from 16 populations spanning gradients of landscape variables associated with insecticide exposure over time revealed 42 strong candidate insecticide resistance genes, with potentially overlapping roles in multiple resistance mechanisms. Measurements of resistance to a widely used insecticide, imidacloprid, among 47 L. decemlineata populations revealed heterogeneity at a small (2 km) scale and no spatial signature of origin or spread throughout the landscape. Analysis of nucleotide diversity suggested candidate resistance loci have undergone varying degrees of selective sweeps, often maintaining similar levels of nucleotide diversity to neutral loci. This study suggests that many genes are involved in insecticide resistance in L. decemlineata and that resistance likely evolves from both de novo and standing genetic variation. "
negative,"MorusDB: a resource for mulberry genomics and genome biology. Mulberry is an important cultivated plant that has received the attention of biologists interested in sericulture and plant-insect interaction. Morus notabilis, a wild mulberry species with a minimal chromosome number is an ideal material for whole-genome sequencing and assembly. The genome and transcriptome of M. notabilis were sequenced and analyzed. In this article, a web-based and open-access database, the Morus Genome Database (MorusDB), was developed to enable easy-to-access and data mining. The MorusDB provides an integrated data source and an easy accession of mulberry large-scale genomic sequencing and assembly, predicted genes and functional annotations, expressed sequence tags (ESTs), transposable elements (TEs), Gene Ontology (GO) terms, horizontal gene transfers between mulberry and silkworm and ortholog and paralog groups. Transcriptome sequencing data for M. notabilis root, leaf, bark, winter bud and male flower can also be searched and downloaded. Furthermore, MorusDB provides an analytical workbench with some built-in tools and pipelines, such as BLAST, Search GO, Mulberry GO and Mulberry GBrowse, to facilitate genomic studies and comparative genomics. The MorusDB provides important genomic resources for scientists working with mulberry and other Moraceae species, which include many important fruit crops. Designed as a basic platform and accompanied by the SilkDB, MorusDB strives to be a comprehensive platform for the silkworm-mulberry interaction studies. Database URL: http: /  / morus.swu.edu.cn / morusdb.  "
negative,"Characterization of the complete mitochondrial genome of Biston marginata (Lepidoptera: Geometridae) and phylogenetic analysis among lepidopteran insects. The complete mitochondrial genome (mitogenome) of Biston marginata (Lepidoptera: Geometridae) was determined and annotated. The circular genome is 15,470bp long and it contains the entire set of 37 genes usually present in lepidopteran mitogenomes. The nucleotide composition of the genome is highly A+T biased, accounting for 81.20%, with a slightly positive AT skewness (0.028), indicating the occurrence of more As than Ts, as found in other Geometridae species. Except for cox1 gene starts with non-canonical initial codon CGA, all protein-coding genes start with ATN codon. Three of the 13 PCGs (protein coding gene) had an incomplete termination codon, T or TA, while the others terminated with TAA. All tRNA genes are predicted to fold into typical clover-leaf secondary structure, except for the trnS1 (AGN), in which the dihydrouridine (DHU) arm could not form a stable stem-loop structure. The A+T-rich region of 343bp is comprised of non-repetitive sequences, but have several distinctive features, including the motif ""ATAGA"" followed by a 19bp poly-T stretch, a microsatellite-like (TA)7 element next to the ATTTA motif. The phylogenetic analyses support the view that the B. marginata is closely related to the Biston pantrinaria, and confirm that Biston marginata belongs to the family Geometridae. "
negative,"Genomic targeting by recombinase-mediated cassette exchange in the spotted wing drosophila, Drosophila suzukii. Drosophila suzukii is a significant pest of stone and small fruits. The genome of this species has been sequenced and manipulated by transposon-mediated transformation and CRISPR / Cas9 gene editing. These technologies open a variety of possibilities for functional genomics and genetic modifications that might improve biologically based population control strategies. Both of these approaches, however, would benefit from genome targeting that would avoid position effects and insertional mutations associated with random transposon vector insertions, and the limited DNA fragment insertion size allowed by gene editing. Here, we describe an efficient recombinase-mediated cassette exchange (RMCE) system for D. suzukii in which heterospecific lox recombination sites were integrated into the genome by transposon-mediated transformation and subsequently targeted for double recombination by a donor vector in the presence of Cre recombinase. Three loxN / lox2272 landing site lines have previously been created in D. suzukii, and quantitative PCR determined that polyubiquitin-regulated enhanced green fluorescent protein expression is least susceptible to position effect suppression in the 443_M26m1 line. We presume that RMCE target sites may also be inserted more specifically into the genome by homology-directed repair gene editing, thereby avoiding position effects and mutations, while eliminating restrictions on the size of donor constructs for subsequent insertion. "
negative,"The neuropeptides and protein hormones of the agricultural pest fruit fly Bactrocera dorsalis: What do we learn from the genome sequencing and tissue-specific transcriptomes? Neuropeptides and protein hormones are very important signaling molecules, and are involved in the regulation and coordination of various physiological processes in invertebrates and vertebrates. Using a bioinformatics approach, we screened the recently sequenced genome and six tissue-specific transcriptome databases (central nervous system, fat body, ovary, testes, male accessory glands, antennae) of the oriental fruit fly (Bactrocera dorsalis) that is economically one of the most important pest insects of tropical and subtropical fruit. Thirty-nine candidate genes were found to encode neuropeptides or protein hormones. These include most of the known insect neuropeptides and protein hormones, with the exception of adipokinetic hormone-corazonin-related peptide, allatropin, diuretic hormone 34, diuretic hormone 45, IMFamide, inotocin, and sex peptide. Our results showed the neuropeptides and protein hormones of Diptera insects appear to have a reduced repertoire compared to some other insects. Moreover, there are also differences between B. dorsalis and the super-model of Drosophila melanogaster. Interesting features of the oriental fruit fly are the absence of genes coding for sex peptide and the presence of neuroparsin and two genes coding neuropeptide F. The majority of the identified neuropeptides and protein hormones is present in the central nervous system, with only a limited number of these in the other tissues. Moreover, we predicted their physiological functions via comparing with data of FlyBase and FlyAtlas. Taken together, owing to the large number of identified peptides, this study can be used as a reference about structure, tissue distribution and physiological functions for comparative studies in other model and important pest insects. "
negative,"Sequence and organization of the mitochondrial genome of the Chagas disease vector, Triatoma dimidiata. The 17 019 bp mitochondrial genome of Triatoma dimidiata is composed of thirteen protein coding sequences, twenty-two tRNAs, small and large ribosomal units, and a control region. The gene order and orientation are identical to that of Drosophila yakuba. The nucleotide composition is biased toward adenine and thymine (69.5% A + T). The 2.1 kb putative control region, known as the A + T rich region in most insects, has an A + T bias of 66%, but contains a 400 bp sequence that is 77.5% A + T and two other distinct regions: (1) one with a lower A + T bias (60.1%) and (2) a region of eight tandem repeat units. The identified 1.4 kb nuclear copy of mitochondrial sequences encompasses the string of Gs and the beginning of the cytochrome c oxidase 1 gene but lacks the 1.8 kb region spanning the eight tandem repeats and the 5' end of the NADH dehydrogenase subunit II gene. "
negative,"The complete mitochondrial genome of Plodia interpunctella (Lepidoptera: Pyralidae) and comparison with other Pyraloidea insects. The mitochondrial (mt) genome can provide important information for the understanding of phylogenetic relationships. The complete mt genome of Plodia interpunctella (Lepidoptera: Pyralidae) has been sequenced. The circular genome is 15 287 bp in size, encoding 13 protein-coding genes (PCGs), 2 rRNA genes, 22 tRNA genes, and a control region. The AT skew of this mt genome is slightly negative, and the nucleotide composition is biased toward A+T nucleotides (80.15%). All PCGs start with the typical ATN (ATA, ATC, ATG, and ATT) codons, except for the cox1 gene which may start with the CGA codon. Four of the 13 PCGs harbor the incomplete termination codon T or TA. All the tRNA genes are folded into the typical clover-leaf structure of mitochondrial tRNA, except for trnS1 (AGN) in which the DHU arm fails to form a stable stem-loop structure. The overlapping sequences are 35 bp in total and are found in seven different locations. A total of 240 bp of intergenic spacers are scattered in 16 regions. The control region of the mt genome is 327 bp in length and consisted of several features common to the sequenced lepidopteran insects. Phylogenetic analysis based on 13 PCGs using the Maximum Likelihood method shows that the placement of P. interpunctella was within the Pyralidae.  "
negative,"Iso-Seq analysis of Nepenthes ampullaria, Nepenthes rafflesiana and Nepenthes × hookeriana for hybridisation study in pitcher plants. Tropical pitcher plants in the species-rich Nepenthaceae family of carnivorous plants possess unique pitcher organs. Hybridisation, natural or artificial, in this family is extensive resulting in pitchers with diverse features. The pitcher functions as a passive insect trap with digestive fluid for nutrient acquisition in nitrogen-poor habitats. This organ shows specialisation according to the dietary habit of different Nepenthes species. In this study, we performed the first single-molecule real-time isoform sequencing (Iso-Seq) analysis of full-length cDNA from Nepenthes ampullaria which can feed on leaf litter, compared to carnivorous Nepenthes rafflesiana, and their carnivorous hybrid Nepenthes × hookeriana. This allows the comparison of pitcher transcriptomes from the parents and the hybrid to understand how hybridisation could shape the evolution of dietary habit in Nepenthes. Raw reads have been deposited to SRA database with the accession numbers SRX2692198 (N. ampullaria), SRX2692197 (N. rafflesiana), and SRX2692196 (N. × hookeriana). "
