category,text
negative,"A small genomic region containing several loci required for gastrulation in Drosophila. Genetic screens in Drosophila designed to search for loci involved in gastrulation have identified four regions of the genome that are required zygotically for the formation of the ventral furrow. For three of these, the genes responsible for the mutant phenotypes have been found. We now describe a genetic characterization of the fourth region, which encompasses the cytogenetic interval 24C3-25B, and the mapping of genes involved in gastrulation in this region. We have determined the precise breakpoints of several existing deficiencies and have generated new deficiencies. Our results show that the region contains at least three different loci associated with gastrulation effects. One maternal effect gene involved in ventral furrow formation maps at 24F but could not be identified. For a second maternal effect gene which is required for germ band extension, we identify a candidate gene, CG31660, which encodes a G protein coupled receptor. Finally, one gene acts zygotically in ventral furrow formation and we identify it as Traf4. "
positive,"Genome-wide identification of chitin-binding proteins and characterization of BmCBP1 in the silkworm, Bombyx mori. The insect cuticle plays important roles in numerous physiological functions to protect the body from invasion of pathogens, physical injury and dehydration. In this report, we conducted a comprehensive genome-wide search for genes encoding proteins with peritrophin A-type (ChtBD2) chitin-binding domain (CBD) in the silkworm, Bombyx mori. One of these genes, which encodes the cuticle protein BmCBP1, was additionally cloned, and its expression and location during the process of development and molting in B. mori were investigated. In total, 46 protein-coding genes were identified in the silkworm genome, including those encoding 15 cuticle proteins analogous to peritrophins with one CBD (CPAP1s), nine cuticle proteins analogous to peritrophins with three CBD (CPAP3s), 15 peritrophic membrane proteins (PMPs), four chitinases, and three chitin deacetylases, which contained at least one ChtBD2 domain. Microarray analysis indicated that CPAP-encoding genes were widely expressed in various tissues, whereas PMP genes were highly expressed in the midgut. Quantitative polymerase chain reaction and western blotting showed that the cuticle protein BmCBP1 was highly expressed in the epidermis and head, particularly during molting and metamorphosis. An immunofluorescence study revealed that chitin co-localized with BmCBP1 at the epidermal surface during molting. Additionally, BmCBP1 was notably up-regulated by 20-hydroxyecdysone treatment. These results provide a genome-level view of the chitin-binding protein in silkworm and suggest that BmCBP1 participates in the formation of the new cuticle during molting. "
negative,"Complete genome sequence of Bacillus thuringiensis serovar alesti BGSC 4C1, a typical strain with toxicity to Lepidoptera insects. Bacillus thuringiensis serovar alesti was used to control caterpillars from 1970s. Here we reported the complete genome of BGSC 4C1, the type strain of this serovar. It has a circular chromosome and six plasmids. The largest plasmid pBMB267 contains five insecticidal crystal protein genes (two copies of cry1Ae, cry1Gb, cry2Ab, and a novel cry1M-type gene) and three vegetative insecticidal protein genes (a novel binary toxin gene operon vip1-vip2 and vip3Aa). Besides, the strain also has many genes encodeing virulence factors, and some secondary metabolite biosynthetic gene clusters involved in synthesis of antimicrobial peptides and bacteriocins. In addition, there is a poly γ-glutamate synthesis gene cluster, whose product is a candidate to control inflammasome-mediated disorders and potential in many other fields. "
negative,"Expansion of LINEs and species-specific DNA repeats drives genome expansion in Asian Gypsy Moths. Two subspecies of Asian gypsy moth (AGM), Lymantria dispar asiatica and L. dispar japonica, pose a serious alien invasive threat to North American forests. Despite decades of research on the ecology and biology of this pest, limited AGM-specific genomic resources are currently available. Here, we report on the genome sequences and functional content of these AGM subspecies. The genomes of L.d. asiatica and L.d. japonica are the largest lepidopteran genomes sequenced to date, totaling 921 and 999 megabases, respectively. Large genome size in these subspecies is driven by the accumulation of specific classes of repeats. Genome-wide metabolic pathway reconstructions suggest strong genomic signatures of energy-related pathways in both subspecies, dominated by metabolic functions related to thermogenesis. The genome sequences reported here will provide tools for probing the molecular mechanisms underlying phenotypic traits that are thought to enhance AGM invasiveness. "
negative,"Caste development and reproduction: a genome-wide analysis of hallmarks of insect eusociality. The honey bee queen and worker castes are a model system for developmental plasticity. We used established expressed sequence tag information for a Gene Ontology based annotation of genes that are differentially expressed during caste development. Metabolic regulation emerged as a major theme, with a caste-specific difference in the expression of oxidoreductases vs. hydrolases. Motif searches in upstream regions revealed group-specific motifs, providing an entry point to cis-regulatory network studies on caste genes. For genes putatively involved in reproduction, meiosis-associated factors came out as highly conserved, whereas some determinants of embryonic axes either do not have clear orthologs (bag of marbles, gurken, torso), or appear to be lacking (trunk) in the bee genome. Our results are the outcome of a first genome-based initiative to provide an annotated framework for trends in gene regulation during female caste differentiation (representing developmental plasticity) and reproduction. "
negative,"Isolation and characterization of a genomic clone for the gene of an insect molting enzyme, chitinase. Genomic clones for a chitinolytic enzyme were isolated from a library of Sau 3A digested DNA from the tobacco hornworm, Manduca sexta, using a previously isolated chitinase cDNA clone as a probe [Kramer et al., Insect Biochem. Molec. Biol. 23, 691-701 (1993)]. Restriction enzyme mapping and Southern blot analysis of four genomic clones suggested that these are overlapping clones. Sequence analysis of the genomic clones and Southern blot analysis of total genomic DNA also suggest that the M. sexta genome has only one chitinase gene detectable by the cDNA probe. This gene is organized into at least 11 exons in a region spanning > 11 kb. The sequenced M. sexta chitinase gene has a series of exons corresponding to identifiable structural / functional regions of the protein. Similarities in structure and organization between the M. sexta chitinase gene and chitinase genes from other sources are described. "
negative,"The genomics of insecticide resistance: insights from recent studies in African malaria vectors. Over 80% of the world's population is at risk from arthropod-vectored diseases, and arthropod crop pests are a significant threat to food security. Insecticides are our front-line response for controlling these disease vectors and pests, and consequently the increasing prevalence of insecticide resistance is of global concern. Here we provide a brief overview of how genomics can be used to implement effective insecticide resistance management (IRM), with a focus on recent advances in the study of Anopheles gambiae, the major vector of malaria in Africa. These advances unlock the potential for a predictive form of IRM, allowing tractable feedback for stakeholders, where the latest field data and well parameterised models can maximise the lifetime and effectiveness of available insecticides. "
negative,"Chromosomal deletions mediated by CRISPR / Cas9 in Helicoverpa armigera. Helicoverpa armigera, cotton bollworm, is one of the most disastrous pests worldwide, threatening various food and economic crops. Functional genomic tools may provide efficient approaches for its management. The clustered regularly interspaced short palindromic repeats (CRISPR) / CRISPR-associated protein 9 (Cas9) system, dependent on a single guide RNA (sgRNA), has been used to induce indels for targeted mutagenesis in cotton bollworm. However, genomic deletions may be more desirable to disrupt the function of noncoding genes or regulatory sequences. By injecting two sgRNAs with Cas9 protein targeting different exons, we obtained predictable genomic deletions of several hundred bases. We achieved this type of modification with different combinations of sgRNA pairs, including HaCad and HaABCC2. Our finding indicated that CRISPR / Cas9 can be used as an efficient tool to engineer genomes with chromosomal deletion in H. armigera. "
negative,"Disease vectors in the era of next generation sequencing. Almost 20 % of all infectious human diseases are vector borne and, together, are responsible for over one million deaths per annum. Over the past decade, the decreasing costs of massively parallel sequencing technologies have facilitated the agnostic interrogation of insect vector genomes, giving medical entomologists access to an ever-expanding volume of high-quality genomic and transcriptomic data. In this review, we highlight how genomics resources have provided new insights into the physiology, behavior, and evolution of human disease vectors within the context of the global health landscape. "
negative,"Rapid evolution in insect pests: the importance of space and time in population genomics studies. Pest species in agroecosystems often exhibit patterns of rapid evolution to environmental and human-imposed selection pressures. Although the role of adaptive processes is well accepted, few insect pests have been studied in detail and most research has focused on selection at insecticide resistance candidate genes. Emerging genomic datasets provide opportunities to detect and quantify selection in insect pest populations, and address long-standing questions about mechanisms underlying rapid evolutionary change. We examine the strengths of recent studies that stratify population samples both in space (along environmental gradients and comparing ancestral vs. derived populations) and in time (using chronological sampling, museum specimens and comparative phylogenomics), resulting in critical insights on evolutionary processes, and providing new directions for studying pests in agroecosystems. "
negative,"Genomic data reveal high conservation but divergent evolutionary pattern of Polycomb / Trithorax group genes in arthropods. Epigenetic gene control is maintained by chromatin-associated Polycomb group (PcG) and Trithorax group (TrxG) genes, which act antagonistically via the interplay between PcG and TrxG regulation to generate silenced or permissive transcriptional states. In this study, we searched for PcG / TrxG genes in 180 arthropod genomes, covering all the sequenced arthropod genomes at the time of conducting this study, to perform a global investigation of PcG / TrxG genes in a phylogenetic frame. Results of ancestral state reconstruction analysis revealed that the ancestor of arthropod species has an almost complete repertoire of PcG / TrxG genes, and most of these genes were seldom lost above order level. The domain diversity analysis indicated that the PcG / TrxG genes show variable extent of domain structure changes; some of these changes could be associated with lineage-specific events. The likelihood ratio tests for selection pressure detected a number of PcG / TrxG genes which underwent episodic positive selection on the branch leading to the insects with holometabolous development. These results suggest that, despite their high conservation across arthropod species, different members of PcG / TrxG genes showed considerable differences in domain structure and sequence divergence in arthropod evolution. Our cross species comparisons using large-scale genomic data provide insights into divergent evolutionary pattern on highly conserved genes in arthropods. "
